Республика Адыгея ; 1.706
Республика Башкортостан ; 1.859
Республика Бурятия ; 2.135
Республика Алтай ; 2.906
Республика Дагестан ; 2.029
Республика Ингушетия ; 2.27
Кабардино-Балкарская Республика ; 1.828
Республика Калмыкия ; 1.889
Республика Карачаево-Черкессия ; 1.628
Республика Карелия ; 1.708
Республика Коми ; 1.876
Республика Марий Эл ; 1.831
Республика Мордовия ; 1.317
Республика Саха  (Якутия) ; 2.166
Республика Северная Осетия ; 1.956
Республика Татарстан ; 1.796
Республика Тыва ; 3.35
Удмуртская республика ; 1.978
Республика Хакасия ; 2.001
Чеченская республика ; 3.08
Чувашская республика ; 1.827
Алтайский край ; 1.811
Краснодарский край ; 1.699
Красноярский край ; 1.755
Приморский край ; 1.647
Ставропольский край ; 1.525
Хабаровский край ; 1.695
Амурская область ; 1.832
Архангельская область ; 1.759
Астраханская область ; 1.925
Белгородская область ; 1.515
Брянская область ; 1.558
Владимирская область ; 1.619
Волгоградская область ; 1.536
Вологодская область ; 1.84
Воронежская область ; 1.449
Ивановская область ; 1.513
Иркутская область ; 1.967
Калининградская область ; 1.625
Калужская область ; 1.623
Камчатский край ; 1.725
Кемеровская область ; 1.762
Кировская область ; 1.808
Костромская область ; 1.828
Курганская область ; 2.028
Курская область ; 1.695
Ленинградская область ; 1.22
Липецкая область ; 1.626
Магаданская область ; 1.649
Московская область ; 1.493
Мурманская область ; 1.569
Нижегородская область ; 1.547
Новгородская область ; 1.698
Новосибирская область ; 1.711
Омская область ; 1.855
Оренбургская область ; 1.953
Орловская область ; 1.536
Пензенская область ; 1.484
Пермский край ; 1.907
Псковская область ; 1.656
Ростовская область ; 1.51
Рязанская область ; 1.543
Самарская область ; 1.539
Саратовская область ; 1.507
Сахалинская область ; 1.713
Свердловская область ; 1.827
Смоленская область ; 1.43
Тамбовская область ; 1.416
Тверская область ; 1.652
Томская область ; 1.549
Тульская область ; 1.432
Тюменская область ; 1.988
Ульяновская область ; 1.569
Челябинская область ; 1.809
Забайкальский край ; 1.998
Ярославская область ; 1.604
Санкт-Петербург ; 1.483
Еврейская автономная область ; 1.838
Ненецкий АО ; 2.345
Ханты-Мансийский АО ; 2.023
Чукотский АО ; 1.967
Ямало-Ненецкий АО ; 2.053
Москва ; 1.323
