Республика Адыгея ; 12.5
Республика Башкортостан ; 14.5
Республика Бурятия ; 17.3
Республика Алтай ; 18.7
Республика Дагестан ; 18.2
Республика Ингушетия ; 18.6
Кабардино-Балкарская Республика ; 14.6
Республика Калмыкия ; 13.6
Республика Карачаево-Черкессия ; 12.4
Республика Карелия ; 12.2
Республика Коми ; 13.6
Республика Марий Эл ; 14.5
Республика Мордовия ; 9.7
Республика Саха  (Якутия) ; 17.1
Республика Северная Осетия ; 14.6
Республика Татарстан ; 14.7
Республика Тыва ; 23.7
Удмуртская республика ; 14.6
Республика Хакасия ; 14.8
Чеченская республика ; 23.2
Чувашская республика ; 13.8
Алтайский край ; 12.6
Краснодарский край ; 13.6
Красноярский край ; 14.4
Приморский край ; 12.7
Ставропольский край ; 13.0
Хабаровский край ; 14.3
Амурская область ; 13.3
Архангельская область ; 12.2
Астраханская область ; 14.5
Белгородская область ; 11.6
Брянская область ; 11.4
Владимирская область ; 11.6
Волгоградская область ; 11.5
Вологодская область ; 13.8
Воронежская область ; 11.1
Ивановская область ; 11.4
Иркутская область ; 15.4
Калининградская область ; 12.8
Калужская область ; 12.7
Камчатский край ; 13.1
Кемеровская область ; 12.5
Кировская область ; 12.7
Костромская область ; 12.5
Курганская область ; 13.3
Курская область ; 11.7
Ленинградская область ; 9.1
Липецкая область ; 11.7
Магаданская область ; 11.8
Московская область ; 13.1
Мурманская область ; 11.9
Нижегородская область ; 12.3
Новгородская область ; 11.9
Новосибирская область ; 14.2
Омская область ; 14.4
Оренбургская область ; 14.2
Орловская область ; 11.2
Пензенская область ; 10.7
Пермский край ; 14.7
Псковская область ; 11.1
Ростовская область ; 12.1
Рязанская область ; 11.2
Самарская область ; 12.8
Саратовская область ; 11.5
Сахалинская область ; 13.6
Свердловская область ; 14.4
Смоленская область ; 10.6
Тамбовская область ; 9.8
Тверская область ; 11.3
Томская область ; 13.6
Тульская область ; 10.5
Тюменская область ; 16.9
Ульяновская область ; 11.9
Челябинская область ; 13.9
Забайкальский край ; 15.4
Ярославская область ; 12.2
Санкт-Петербург ; 13.6
Еврейская автономная область ; 14.0
Республика Крым ; 12.7
Ненецкий АО ; 17.5
Ханты-Мансийский АО ; 16.6
Чукотский АО ; 13.5
Ямало-Ненецкий АО ; 16.5
Севастополь ; 13.7
Москва ; 11.7
