Республика Адыгея ; 13.0
Республика Башкортостан ; 13.3
Республика Бурятия ; 11.4
Республика Алтай ; 10.9
Республика Дагестан ; 5.4
Республика Ингушетия ; 3.3
Кабардино-Балкарская Республика ; 8.8
Республика Калмыкия ; 9.8
Республика Карачаево-Черкессия ; 9.6
Республика Карелия ; 15.3
Республика Коми ; 12.3
Республика Марий Эл ; 13.7
Республика Мордовия ; 14.2
Республика Саха  (Якутия) ; 8.6
Республика Северная Осетия ; 10.7
Республика Татарстан ; 12.0
Республика Тыва ; 10.3
Удмуртская республика ; 12.9
Республика Хакасия ; 13.5
Чеченская республика ; 4.9
Чувашская республика ; 13.1
Алтайский край ; 14.2
Краснодарский край ; 13.1
Красноярский край ; 12.7
Приморский край ; 13.5
Ставропольский край ; 11.6
Хабаровский край ; 13.4
Амурская область ; 13.9
Архангельская область ; 13.6
Астраханская область ; 12.3
Белгородская область ; 14.0
Брянская область ; 15.8
Владимирская область ; 16.5
Волгоградская область ; 13.8
Вологодская область ; 14.8
Воронежская область ; 15.4
Ивановская область ; 16.1
Иркутская область ; 13.7
Калининградская область ; 13.3
Калужская область ; 15.1
Камчатский край ; 11.4
Кемеровская область ; 14.5
Кировская область ; 15.2
Костромская область ; 16.0
Курганская область ; 16.1
Курская область ; 16.3
Ленинградская область ; 14.1
Липецкая область ; 15.4
Магаданская область ; 11.8
Московская область ; 13.0
Мурманская область ; 11.5
Нижегородская область ; 15.6
Новгородская область ; 17.6
Новосибирская область ; 13.1
Омская область ; 13.4
Оренбургская область ; 14.1
Орловская область ; 16.4
Пензенская область ; 14.9
Пермский край ; 14.2
Псковская область ; 18.2
Ростовская область ; 13.9
Рязанская область ; 15.9
Самарская область ; 14.2
Саратовская область ; 14.2
Сахалинская область ; 13.2
Свердловская область ; 14.2
Смоленская область ; 16.4
Тамбовская область ; 16.0
Тверская область ; 17.7
Томская область ; 11.5
Тульская область ; 17.1
Тюменская область ; 11.6
Ульяновская область ; 14.9
Челябинская область ; 13.9
Забайкальский край ; 12.9
Ярославская область ; 15.6
Санкт-Петербург ; 11.9
Еврейская автономная область ; 15.4
Республика Крым ; 15.4
Ненецкий АО ; 9.3
Ханты-Мансийский АО ; 6.4
Чукотский АО ; 9.6
Ямало-Ненецкий АО ; 5.2
Севастополь ; 15.2
Москва ; 10.0
