Республика Адыгея ; 7.5
Республика Башкортостан ; 7.3
Республика Бурятия ; 7.0
Республика Алтай ; 9.9
Республика Дагестан ; 12.0
Республика Ингушетия ; 11.2
Кабардино-Балкарская Республика ; 6.8
Республика Калмыкия ; 8.0
Республика Карачаево-Черкессия ; 8.4
Республика Карелия ; 5.7
Республика Коми ; 4.4
Республика Марий Эл ; 7.6
Республика Мордовия ; 4.3
Республика Саха  (Якутия) ; 7.9
Республика Северная Осетия ; 9.4
Республика Татарстан ; 6.0
Республика Тыва ; 14.6
Удмуртская республика ; 5.6
Республика Хакасия ; 8.9
Чеченская республика ; 11.7
Чувашская республика ; 3.3
Алтайский край ; 7.6
Краснодарский край ; 5.4
Красноярский край ; 6.3
Приморский край ; 7.8
Ставропольский край ; 8.1
Хабаровский край ; 6.4
Амурская область ; 7.7
Архангельская область ; 6.1
Астраханская область ; 8.0
Белгородская область ; 6.3
Брянская область ; 7.9
Владимирская область ; 6.7
Волгоградская область ; 6.4
Вологодская область ; 5.8
Воронежская область ; 4.9
Ивановская область ; 5.5
Иркутская область ; 7.0
Калининградская область ; 6.1
Калужская область ; 8.7
Камчатский край ; 9.4
Кемеровская область ; 6.7
Кировская область ; 4.2
Костромская область ; 7.0
Курганская область ; 5.8
Курская область ; 4.7
Ленинградская область ; 6.0
Липецкая область ; 7.4
Магаданская область ; 5.1
Московская область ; 4.9
Мурманская область ; 5.8
Нижегородская область ; 6.8
Новгородская область ; 6.0
Новосибирская область ; 6.1
Омская область ; 6.8
Оренбургская область ; 6.9
Орловская область ; 9.1
Пензенская область ; 4.3
Пермский край ; 5.9
Псковская область ; 7.7
Ростовская область ; 6.6
Рязанская область ; 6.2
Самарская область ; 5.6
Саратовская область ; 7.0
Сахалинская область ; 6.2
Свердловская область ; 5.5
Смоленская область ; 7.7
Тамбовская область ; 3.7
Тверская область ; 6.6
Томская область ; 4.8
Тульская область ; 6.8
Тюменская область ; 6.1
Ульяновская область ; 6.5
Челябинская область ; 6.5
Забайкальский край ; 7.7
Ярославская область ; 6.0
Санкт-Петербург ; 4.4
Еврейская автономная область ; 12.8
Республика Крым ; 6.3
Ненецкий АО ; 5.3
Ханты-Мансийский АО ; 4.9
Чукотский АО ; 17.5
Ямало-Ненецкий АО ; 7.1
Севастополь ; 4.8
Москва ; 6.0
