Республика Адыгея ; 66.35
Республика Башкортостан ; 63.34
Республика Бурятия ; 60.97
Республика Алтай ; 60.8
Республика Дагестан ; 71.56
Республика Ингушетия ; 74.43
Кабардино-Балкарская Республика ; 68.47
Республика Калмыкия ; 65.78
Республика Карачаево-Черкессия ; 68.37
Республика Карелия ; 61.42
Республика Коми ; 62.27
Республика Марий Эл ; 62.82
Республика Мордовия ; 64.59
Республика Саха  (Якутия) ; 62.37
Республика Северная Осетия ; 67.87
Республика Татарстан ; 65.95
Республика Тыва ; 55.53
Удмуртская республика ; 63.4
Республика Хакасия ; 61.86
Чеченская республика ; 68.98
Чувашская республика ; 64.31
Алтайский край ; 63.49
Краснодарский край ; 66.64
Красноярский край ; 62.65
Приморский край ; 62.29
Ставропольский край ; 67.27
Хабаровский край ; 61.27
Амурская область ; 59.26
Архангельская область ; 63.69
Астраханская область ; 64.88
Белгородская область ; 66.48
Брянская область ; 62.59
Владимирская область ; 62.29
Волгоградская область ; 65.33
Вологодская область ; 63.09
Воронежская область ; 64.86
Ивановская область ; 63.25
Иркутская область ; 59.92
Калининградская область ; 64.82
Калужская область ; 63.54
Камчатский край ; 62.09
Кемеровская область ; 60.54
Кировская область ; 63.91
Костромская область ; 63.62
Курганская область ; 62.13
Курская область ; 63.49
Ленинградская область ; 64.07
Липецкая область ; 63.77
Магаданская область ; 60.82
Московская область ; 64.73
Мурманская область ; 63.94
Нижегородская область ; 62.63
Новгородская область ; 61.03
Новосибирская область ; 63.9
Омская область ; 63.47
Оренбургская область ; 62.79
Орловская область ; 63.07
Пензенская область ; 64.9
Пермский край ; 62.24
Псковская область ; 60.24
Ростовская область ; 65.79
Рязанская область ; 63.79
Самарская область ; 63.49
Саратовская область ; 64.51
Сахалинская область ; 60.75
Свердловская область ; 63.51
Смоленская область ; 62.44
Тамбовская область ; 64.62
Тверская область ; 61.7
Томская область ; 64.48
Тульская область ; 62.67
Тюменская область ; 65.39
Ульяновская область ; 64.7
Челябинская область ; 63.03
Забайкальский край ; 60.61
Ярославская область ; 63.58
Санкт-Петербург ; 68.43
Еврейская автономная область ; 58.46
Ненецкий АО ; 62.0
Ханты-Мансийский АО ; 66.88
Чукотский АО ; 56.59
Ямало-Ненецкий АО ; 66.26
Москва ; 71.6
