13.10.2015 11:38; Москва;"детский приют \"Забота\"";Москва ул. Преснякова, 34;Социальный приют для детей и подростков;Полностью удовлетворен;Затрудняюсь ответить;На среднем уровне;Чем-то удовлетворен, чем-то нет;Скорее да;Затрудняюсь ответить;Не могу оценить;Нет;Не могу оценить;Не могу оценить;Да;Да;Да;Скорее нет, чем да;Скорее нет, чем да;люди все хорошие;но сделать ничего нельзя
13.10.2015 11:45;Тамбовская область;"телефон доверия \"Друг\"";г. Тамбов, ул. Советская, 12;Центр экстренной психологической помощи по телефону;Полностью удовлетворен;Затрудняюсь ответить;Затрудняюсь ответить;Чем-то удовлетворен, чем-то нет;Да;Затрудняюсь ответить;Да;Да;Не могу оценить;Не могу оценить;Не могу оценить;Не могу оценить;Не могу оценить;Скорее да, чем нет;Определённо да;психологи - люди профессиональные;но сделать ничего нельзя
13.10.2015 13:25;Кабардино-Балкарская Республика;Государственное учреждение «Комплексный центр социального обслуживания населения в Зольском муниципальном районе» Министерства труда и социального развития Кабардино-Балкарской Республики;Российская Федерация, 361700, Кабардино-Балкарская Респ, Зольский р-н, Залукокоаже пгт, Кавказская, 10;Комплексный центр социального обслуживания населения;Чем-то удовлетворен, чем-то нет;Скорее да, чем нет;На среднем уровне;Чем-то удовлетворен, чем-то нет;Скорее нет;Да, такое было несколько раз;Да;Нет;Да;Да;Нет;Да;Да;Скорее да, чем нет;Скорее да, чем нет;Качеством обслуживания;Персоналом
13.10.2015 13:30;Ставропольский край;ГБУ Ставропольского края «Лермонтовский комплексный центр социального обслуживания населения»;Российская Федерация, 357340, Ставропольский край, Лермонтов г, П. Лумумбы, 31;Комплексный центр социального обслуживания населения;Чем-то удовлетворен, чем-то нет;Определённо да;На высоком уровне;Полностью удовлетворен;Скорее нет;Нет, услуги всегда оказываются в назначенное время;Да;Нет;Не могу оценить;Не могу оценить;Не могу оценить;Не могу оценить;Не могу оценить;Затрудняюсь ответить;Определённо да;Компетентностью;Вежливостью персонала
13.10.2015 13:36;Ярославская область;Государственное бюджетное учреждение социального обслуживания Ярославской области «Красноперекопский психоневрологический интернат»;150002, Ярославская область, г. Ярославль, Парковый проезд, дом 7;Центр социального обслуживания;Полностью удовлетворен;Скорее да, чем нет;На среднем уровне;Полностью удовлетворен;Да;Да, такое было несколько раз;Да;Нет;Да;Нет;Нет;Нет;Нет;Определённо нет;Скорее нет, чем да;Компетентностью персонала;Материальным обеспечением организации
13.10.2015 14:21;Ульяновская область;Комплексный центр социального обслуживания населения Ульяновской области «Исток» (ОГБУСО КЦСОН «Исток»);432034, Ульяновская обл,  г. Ульяновск, ул. Полбина, 45А;Центр социального обслуживания;Затрудняюсь ответить;Определённо нет;На среднем уровне;Затрудняюсь ответить;Нет;Да, такое было несколько раз;Нет;Нет;Не могу оценить;Нет;Нет;Не могу оценить;Нет;Затрудняюсь ответить;Определённо нет;ни чем не довольна;отсутствие полной информации об услуге, высокая стоимость услуги, неудобный режим работы
13.10.2015 14:40;Ханты-Мансийскоий автономный округ (Югра);Бюджетное учреждение Ханты-Мансийского автономного округа – Югры Комплексный центр социального обслуживания населения «Светлана»;628012,Тюменская обл. Ханты-Мансийский автономный окуг-Югра. г.Ханты-Мансийск, ул.Пионерская, дом 27;Комплексный центр социального обслуживания населения;Полностью удовлетворен;Определённо да;На высоком уровне;Полностью удовлетворен;Да;Да, такое было несколько раз;Нет;Да;Да;Да;Да;Да;Да;Определённо да;Определённо да;Работники учреждения вежливы и доброжелательны , доступны все виды предоставляемых социальных услуг, очередь на получение услуг отсутствует, посоветую родственникам и знакомым обратиться за получением социальных услуг в это учреждение.;довольна всем
13.10.2015 14:50;Республика Северная Осетия-Алания;Государственное бюджетное учреждение социального обслуживания Республики Северная Осетия – Алания «Комплексный центр социального обслуживания населения Ирафского района»;363500, Республика Северная Осетия-Алания, Ирафский район, с. Чикола, ул.;Комплексный центр социального обслуживания населения;Полностью удовлетворен;Определённо да;На высоком уровне;Полностью удовлетворен;Да;Нет, услуги всегда оказываются в назначенное время;Да;Да;Да;Да;Да;Да;Да;Определённо да;Определённо да;Работники учреждения вежливы и доброжелательны , доступны все виды предоставляемых социальных услуг, всегда оказываются в назначенное время, очередь на получение услуг отсутствует, посоветую родственникам и знакомым обратиться за получением социальных услуг в это учреждение, социальные работники на дом приходят регулярно.Очень доволен, что выбрал это учреждение.;недовольств в получение услуг нет
13.10.2015 16:09;Кабардино-Балкарская Республика;Комплексный центр социального обслуживания населения;г.Кабарда, ул Полевая, дом 198;Комплексный центр социального обслуживания населения;Чем-то удовлетворен, чем-то нет;Скорее да, чем нет;На среднем уровне;Чем-то удовлетворен, чем-то нет;Да;Нет, услуги всегда оказываются в назначенное время;Нет;Да;Не могу оценить;Нет;Да;Да;Да;Скорее да, чем нет;Скорее да, чем нет;Вежливый доброжелательный персонал, отсутствие очереди для получения услуги, консультации. Все назначения проводятся вовремя. Очень хорошее питание - вкусно, разнообразно.;Совершенно недостаточно информации о данном учреждении, официальный сайт плохо организован - весьма затруднительно найти на нем нужные сведения. Большие проблемы с предоставлением парикмахерских услуг для лиц, которые не в состоянии себя обслуживать.
13.10.2015 16:12; Москва;центр соц обслуживания района Марьино;Москва, ул. Братиславская, 34;Центр социального обслуживания;Полностью удовлетворен;Определённо да;На высоком уровне;Чем-то удовлетворен, чем-то нет;Скорее да;Затрудняюсь ответить;Не могу оценить;Да;Не могу оценить;Не могу оценить;Не могу оценить;Не могу оценить;Да;Затрудняюсь ответить;Скорее да, чем нет;получил нужную справку;далеко ехать от дома
